config,rmse,mae,model_path,metrics_path,status
"{'batch_size': 32, 'dropout_rate': 0.2, 'lstm_units': 50, 'n_layers': 1, 'n_steps_in': 14, 'n_features': 3}",19084.219211792184,13053.601162455621,models/lstm_tuning_trial_860.h5,results/model/lstm_tuning_trial_860_metrics.csv,success
"{'batch_size': 32, 'dropout_rate': 0.2, 'lstm_units': 50, 'n_layers': 1, 'n_steps_in': 21, 'n_features': 3}",25479.136537898296,18313.818336529363,models/lstm_tuning_trial_8210.h5,results/model/lstm_tuning_trial_8210_metrics.csv,success
"{'batch_size': 32, 'dropout_rate': 0.2, 'lstm_units': 50, 'n_layers': 2, 'n_steps_in': 14, 'n_features': 3}",19990.764237486685,14012.261971216383,models/lstm_tuning_trial_2133.h5,results/model/lstm_tuning_trial_2133_metrics.csv,success
"{'batch_size': 32, 'dropout_rate': 0.2, 'lstm_units': 50, 'n_layers': 2, 'n_steps_in': 21, 'n_features': 3}",20651.885318573386,14656.591508829137,models/lstm_tuning_trial_8413.h5,results/model/lstm_tuning_trial_8413_metrics.csv,success
"{'batch_size': 32, 'dropout_rate': 0.2, 'lstm_units': 100, 'n_layers': 1, 'n_steps_in': 14, 'n_features': 3}",19162.420196607338,13165.728825793743,models/lstm_tuning_trial_5871.h5,results/model/lstm_tuning_trial_5871_metrics.csv,success
"{'batch_size': 32, 'dropout_rate': 0.2, 'lstm_units': 100, 'n_layers': 1, 'n_steps_in': 21, 'n_features': 3}",18659.512249885862,12670.730303816232,models/lstm_tuning_trial_9310.h5,results/model/lstm_tuning_trial_9310_metrics.csv,success
"{'batch_size': 32, 'dropout_rate': 0.2, 'lstm_units': 100, 'n_layers': 2, 'n_steps_in': 14, 'n_features': 3}",19922.245765308013,13965.165782032036,models/lstm_tuning_trial_5675.h5,results/model/lstm_tuning_trial_5675_metrics.csv,success
"{'batch_size': 32, 'dropout_rate': 0.2, 'lstm_units': 100, 'n_layers': 2, 'n_steps_in': 21, 'n_features': 3}",20851.320536155734,14926.347943441304,models/lstm_tuning_trial_8678.h5,results/model/lstm_tuning_trial_8678_metrics.csv,success
"{'batch_size': 32, 'dropout_rate': 0.3, 'lstm_units': 50, 'n_layers': 1, 'n_steps_in': 14, 'n_features': 3}",19632.840430266184,13697.269317706292,models/lstm_tuning_trial_5631.h5,results/model/lstm_tuning_trial_5631_metrics.csv,success
"{'batch_size': 32, 'dropout_rate': 0.3, 'lstm_units': 50, 'n_layers': 1, 'n_steps_in': 21, 'n_features': 3}",20329.062534036297,14216.361115685253,models/lstm_tuning_trial_1389.h5,results/model/lstm_tuning_trial_1389_metrics.csv,success
"{'batch_size': 32, 'dropout_rate': 0.3, 'lstm_units': 50, 'n_layers': 2, 'n_steps_in': 14, 'n_features': 3}",20263.824826478136,14178.006488588957,models/lstm_tuning_trial_9028.h5,results/model/lstm_tuning_trial_9028_metrics.csv,success
"{'batch_size': 32, 'dropout_rate': 0.3, 'lstm_units': 50, 'n_layers': 2, 'n_steps_in': 21, 'n_features': 3}",20154.479270811695,14186.849647398487,models/lstm_tuning_trial_6838.h5,results/model/lstm_tuning_trial_6838_metrics.csv,success
"{'batch_size': 32, 'dropout_rate': 0.3, 'lstm_units': 100, 'n_layers': 1, 'n_steps_in': 14, 'n_features': 3}",19232.619507425174,13137.903105611831,models/lstm_tuning_trial_1546.h5,results/model/lstm_tuning_trial_1546_metrics.csv,success
"{'batch_size': 32, 'dropout_rate': 0.3, 'lstm_units': 100, 'n_layers': 1, 'n_steps_in': 21, 'n_features': 3}",19783.97400500273,13834.283268024648,models/lstm_tuning_trial_6096.h5,results/model/lstm_tuning_trial_6096_metrics.csv,success
"{'batch_size': 32, 'dropout_rate': 0.3, 'lstm_units': 100, 'n_layers': 2, 'n_steps_in': 14, 'n_features': 3}",19499.848514471167,13546.082263210115,models/lstm_tuning_trial_5167.h5,results/model/lstm_tuning_trial_5167_metrics.csv,success
"{'batch_size': 32, 'dropout_rate': 0.3, 'lstm_units': 100, 'n_layers': 2, 'n_steps_in': 21, 'n_features': 3}",19615.13204712174,13717.454224640385,models/lstm_tuning_trial_7530.h5,results/model/lstm_tuning_trial_7530_metrics.csv,success
"{'batch_size': 64, 'dropout_rate': 0.2, 'lstm_units': 50, 'n_layers': 1, 'n_steps_in': 14, 'n_features': 3}",19935.512938820048,13909.67704272031,models/lstm_tuning_trial_1812.h5,results/model/lstm_tuning_trial_1812_metrics.csv,success
"{'batch_size': 64, 'dropout_rate': 0.2, 'lstm_units': 50, 'n_layers': 1, 'n_steps_in': 21, 'n_features': 3}",19116.088131978817,13066.145606758851,models/lstm_tuning_trial_6429.h5,results/model/lstm_tuning_trial_6429_metrics.csv,success
"{'batch_size': 64, 'dropout_rate': 0.2, 'lstm_units': 50, 'n_layers': 2, 'n_steps_in': 14, 'n_features': 3}",19408.05111106677,13434.248003587947,models/lstm_tuning_trial_2393.h5,results/model/lstm_tuning_trial_2393_metrics.csv,success
"{'batch_size': 64, 'dropout_rate': 0.2, 'lstm_units': 50, 'n_layers': 2, 'n_steps_in': 21, 'n_features': 3}",22675.279619833276,16264.146866460507,models/lstm_tuning_trial_8932.h5,results/model/lstm_tuning_trial_8932_metrics.csv,success
"{'batch_size': 64, 'dropout_rate': 0.2, 'lstm_units': 100, 'n_layers': 1, 'n_steps_in': 14, 'n_features': 3}",18794.93082648624,12794.045349205584,models/lstm_tuning_trial_3246.h5,results/model/lstm_tuning_trial_3246_metrics.csv,success
"{'batch_size': 64, 'dropout_rate': 0.2, 'lstm_units': 100, 'n_layers': 1, 'n_steps_in': 21, 'n_features': 3}",19201.963664412746,13266.137448476586,models/lstm_tuning_trial_6663.h5,results/model/lstm_tuning_trial_6663_metrics.csv,success
"{'batch_size': 64, 'dropout_rate': 0.2, 'lstm_units': 100, 'n_layers': 2, 'n_steps_in': 14, 'n_features': 3}",19761.636678460334,13804.776945103336,models/lstm_tuning_trial_4013.h5,results/model/lstm_tuning_trial_4013_metrics.csv,success
"{'batch_size': 64, 'dropout_rate': 0.2, 'lstm_units': 100, 'n_layers': 2, 'n_steps_in': 21, 'n_features': 3}",19533.0255923112,13558.134266796178,models/lstm_tuning_trial_467.h5,results/model/lstm_tuning_trial_467_metrics.csv,success
"{'batch_size': 64, 'dropout_rate': 0.3, 'lstm_units': 50, 'n_layers': 1, 'n_steps_in': 14, 'n_features': 3}",18996.928480490955,13083.981457059059,models/lstm_tuning_trial_413.h5,results/model/lstm_tuning_trial_413_metrics.csv,success
"{'batch_size': 64, 'dropout_rate': 0.3, 'lstm_units': 50, 'n_layers': 1, 'n_steps_in': 21, 'n_features': 3}",20905.336428374674,14597.804299199424,models/lstm_tuning_trial_3956.h5,results/model/lstm_tuning_trial_3956_metrics.csv,success
"{'batch_size': 64, 'dropout_rate': 0.3, 'lstm_units': 50, 'n_layers': 2, 'n_steps_in': 14, 'n_features': 3}",19625.805029071984,13684.511364490365,models/lstm_tuning_trial_7376.h5,results/model/lstm_tuning_trial_7376_metrics.csv,success
"{'batch_size': 64, 'dropout_rate': 0.3, 'lstm_units': 50, 'n_layers': 2, 'n_steps_in': 21, 'n_features': 3}",19501.599326748423,13560.223743914,models/lstm_tuning_trial_8763.h5,results/model/lstm_tuning_trial_8763_metrics.csv,success
"{'batch_size': 64, 'dropout_rate': 0.3, 'lstm_units': 100, 'n_layers': 1, 'n_steps_in': 14, 'n_features': 3}",19789.315155620676,13823.710856076896,models/lstm_tuning_trial_4862.h5,results/model/lstm_tuning_trial_4862_metrics.csv,success
"{'batch_size': 64, 'dropout_rate': 0.3, 'lstm_units': 100, 'n_layers': 1, 'n_steps_in': 21, 'n_features': 3}",19855.60972100138,13898.707687471084,models/lstm_tuning_trial_5352.h5,results/model/lstm_tuning_trial_5352_metrics.csv,success
"{'batch_size': 64, 'dropout_rate': 0.3, 'lstm_units': 100, 'n_layers': 2, 'n_steps_in': 14, 'n_features': 3}",19514.940798677566,13587.41723831583,models/lstm_tuning_trial_9253.h5,results/model/lstm_tuning_trial_9253_metrics.csv,success
"{'batch_size': 64, 'dropout_rate': 0.3, 'lstm_units': 100, 'n_layers': 2, 'n_steps_in': 21, 'n_features': 3}",20788.04725592052,14875.494175994767,models/lstm_tuning_trial_3482.h5,results/model/lstm_tuning_trial_3482_metrics.csv,success
